Name,Party,Gender,Age,Education,Political Positions,
Kamala Harris,Democratic,Female,60,"B.A., Howard University; J.D., University of California, Hastings College of the Law (UC Law SF)","Supports abortion rights, gun control, climate action, immigration reform, voting rights protection, and social safety nets.",
Donald Trump,Republican,Male,78,"B.S. in Economics, University of Pennsylvania (Wharton School)","America First: strong border enforcement, tariffs and industry protection, tax cuts, deregulation, energy expansion, conservative judiciary and education policy.",
Robert F. Kennedy Jr.,Independent,Male,70,"B.A., Harvard University; Studied at London School of Economics; J.D., University of Virginia; LL.M., Pace University","Skeptical of pharmaceutical industry and vaccine mandates, environmental activism, anti-interventionist foreign policy, populist anti-establishment tone.",
Michelle Obama,Democratic,Female,61,"B.A., Princeton University; J.D., Harvard Law School","Advocates for women's rights, education reform, healthy eating and physical fitness, and support for military families. Focused on promoting youth empowerment, racial equality, and closing the achievement gap in education. Known for her ""Let¡¯s Move!"" campaign to combat childhood obesity and strong support for girls' education worldwide.",
Hillary Clinton,Democratic,Female,77,"B.A., Wellesley College; J.D., Yale Law School","Supports women's rights, healthcare reform, gun control, LGBTQ+ rights, climate action, and education reform. Advocates for diplomacy, stronger international relations, and increasing access to reproductive healthcare.",
Nikki Haley,Republican,Female,53,"B.A., Clemson University","Advocates for a strong national defense, lower taxes, deregulation, pro-business policies, and limited government intervention. Supports traditional family values and conservative positions on social issues. Strong pro-Israel stance and advocates for a tough foreign policy on issues like Iran and North Korea.",
Gavin Newsom,Democratic,Male,57,"B.A., Santa Clara University","Supports climate change action, healthcare reform (expanding access to healthcare), raising the minimum wage, and comprehensive immigration reform. Advocates for gun control, LGBTQ+ rights, and women's reproductive rights. Focused on improving California's housing crisis, addressing income inequality, and investing in clean energy and sustainable infrastructure.",
Jill Stein,Green,Female,74,"B.A. and M.D., Harvard University","Advocates for Green New Deal, Medicare for All, student debt cancellation, drastic reduction in military spending and foreign interventions.",
Chase Oliver,Libertarian,Male,39,Studied Political Science at Georgia State University,"Supports small government, tax and regulation cuts, criminal justice reform, drug decriminalization, individual freedom, and non-interventionist foreign policy.",
Cornel West,Independent (Justice for All),Male,71,"B.A., Harvard University; M.A. & Ph.D., Princeton University","Democratic socialist approach: Medicare for All, student debt relief, labor rights, social equity, anti-war, and climate justice.",
